Тип предложения,Комнаты,Адрес,Серия,Площадь,Отопление,Состояние,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Интернет,Газ,Балкон,Мебель,Пол,Высота потолков,Телефон,Санузел,Входная дверь,Парковка,Ценна доллар,Ценна сом,Lat,Lon,Город,Номер этажа,Общий этаж,Домофон,Видеонаблюдение,Охрана,Решетки на окнах,Кодовый замок,Сигнализация,Видеодомофон,Консьерж,Договор купли-продажи,Договор дарения,Технический паспорт,Акт ввода в эксплуатацию,Красная книга,зеленая книга,Material,Year,"Стоимость, доллар США за 1 кв.м"
собственник,1,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",элитка,40.0,1,евроремонт,0,0,обмен не предлагать,оптика,1,1,пустая,ламинат,3.0,1,совмещенный,металлическая,паркинг,62000,5489480,42.8163,74.6224,Бишкек,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022,1550.0
собственник,3,"Бишкек, Ак Кеме",элитка,110.9,1,евроремонт,0,1,рассмотрю варианты,проводной,1,1,частично меблирована,ламинат,2.9796183723797784,1,раздельный,бронированная,паркинг,180000,15937200,42.8396,74.5824,Бишкек,4,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2014,1623.0838593327321
собственник,2,"Бишкек, Ак Эмир рынок, Московская/Шопокова, 38",элитка,78.93,1,под самоотделку (псо),0,0,обмен не предлагать,нет,0,1,пустая,ламинат,3.2,0,2 с/у и более,бронированная,нет,98000,8676920,42.8679,74.6145,Бишкек,13,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023,1241.6064867604205
собственник,1,"Бишкек, Ак-Орго ж/м, Ахунбаева/Ашар",элитка,39.0,1,под самоотделку (псо),1,0,обмен не предлагать,проводной,1,0,пустая,ламинат,2.7,1,раздельный,бронированная,рядом охраняемая стоянка,39000,3453060,42.845,74.5207,Бишкек,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2024,1000.0
собственник,3,"Бишкек, КГУСТА, Малдыбаева 30Б/Ахунбаева",индивид. планировка,68.0,1,хорошее,0,0,обмен не предлагать,проводной,1,1,полностью меблирована,паркет,2.9796183723797784,1,раздельный,бронированная,нет,87000,7702980,42.8421,74.6011,Бишкек,5,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,кирпичный,1990,1279.4117647058824
собственник,3,"Бишкек, 7 м-н 1/жукеева пудовкина",104 серия,58.0,1,среднее,0,0,обмен не предлагать,нет,1,1,пустая,ламинат,3.0,1,совмещенный,бронированная,нет,74000,6551960,42.8324,74.6157,Бишкек,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,панельный,1969,1275.8620689655172
собственник,3,"Бишкек, 7 м-н, Юнусалиева 173/3",элитка,84.0,1,хорошее,0,0,обмен не предлагать,нет,1,1,полностью меблирована,ламинат,3.0,1,раздельный,бронированная,паркинг,116000,10270640,42.8285,74.6205,Бишкек,1,10,1,1,0,0,0,0,0,0,1,0,1,1,1,0,кирпичный,2015,1380.952380952381
собственник,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,75.0,1,евроремонт,0,1,обмен не предлагать,adsl,1,0,полностью меблирована,ламинат,3.0,1,раздельный,бронированная,нет,115000,10182100,42.8188,74.6162,Бишкек,10,10,1,1,1,0,0,0,1,0,1,0,1,0,0,0,монолитный,2021,1533.3333333333333
собственник,1,"Бишкек, Верхний Джал м-н, Тыналиева 15/Курчатова",106 серия,45.0,1,хорошее,0,1,обмен не предлагать,проводной,1,1,пустая,линолеум,2.9,1,совмещенный,бронированная,рядом охраняемая стоянка,53000,4692620,42.8348,74.5642,Бишкек,7,9,1,1,0,0,1,0,0,0,0,0,1,0,0,0,панельный,1999,1177.7777777777778
собственник,4,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134/Исанова",элитка,145.0,1,евроремонт,0,0,обмен на авто,проводной,1,1,полностью меблирована,ламинат,3.0,0,2 с/у и более,металлическая,паркинг,290000,25676600,42.865,74.5924,Бишкек,2,10,1,1,0,1,0,0,1,0,0,0,0,0,0,0,монолитный,2016,2000.0
