Тип предложения,Комнаты,Адрес,Серия,Площадь,Отопление,Состояние,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Интернет,Газ,Балкон,Мебель,Пол,Высота потолков,Телефон,Санузел,Входная дверь,Парковка,Ценна доллар,Lat,Lon,Город,Номер этажа,Общий этаж,Домофон,Видеонаблюдение,Охрана,Решетки на окнах,Кодовый замок,Сигнализация,Видеодомофон,Консьерж,Договор купли-продажи,Договор дарения,Технический паспорт,Акт ввода в эксплуатацию,Красная книга,зеленая книга,Материал,Год
собственник,1,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",элитка,40.0,1.0,евроремонт,,,обмен не предлагать,оптика,1.0,1.0,пустая,,3.0,0.0,совмещенный,металлическая,паркинг,62000,42.8163,74.6224,Бишкек,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,монолитный,2022
собственник,3,"Бишкек, Ак Кеме",элитка,110.9,1.0,евроремонт,,1.0,рассмотрю варианты,проводной,1.0,1.0,частично меблирована,ламинат,,0.0,раздельный,бронированная,паркинг,180000,42.8396,74.5824,Бишкек,4,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,кирпичный,2014
собственник,2,"Бишкек, Ак Эмир рынок, Московская/Шопокова, 38",элитка,78.93,1.0,под самоотделку (псо),0.0,0.0,,,,1.0,пустая,,3.2,0.0,2 с/у и более,,,98000,42.8679,74.6145,Бишкек,13,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,монолитный,2023
собственник,1,"Бишкек, Ак-Орго ж/м, Ахунбаева/Ашар",элитка,39.0,1.0,под самоотделку (псо),1.0,,,проводной,1.0,,пустая,,2.7,1.0,раздельный,бронированная,рядом охраняемая стоянка,39000,42.845,74.5207,Бишкек,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,кирпичный,2024
собственник,3,"Бишкек, КГУСТА, Малдыбаева 30Б/Ахунбаева",индивид. планировка,68.0,1.0,хорошее,,,,проводной,1.0,1.0,полностью меблирована,паркет,,1.0,раздельный,бронированная,,87000,42.8421,74.6011,Бишкек,5,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,кирпичный,1990
собственник,3,"Бишкек, 7 м-н 1/жукеева пудовкина",104 серия,58.0,1.0,среднее,,,,,1.0,1.0,,,3.0,0.0,совмещенный,,,74000,42.8324,74.6157,Бишкек,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,панельный,1969
собственник,3,"Бишкек, 7 м-н, Юнусалиева 173/3",элитка,84.0,1.0,хорошее,0.0,0.0,обмен не предлагать,,1.0,1.0,полностью меблирована,ламинат,3.0,0.0,раздельный,бронированная,паркинг,116000,42.8285,74.6205,Бишкек,1,10,1,1,0,0,0,0,0,0,1,0,1,1,1,0,кирпичный,2015
собственник,2,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",элитка,75.0,1.0,евроремонт,,1.0,обмен не предлагать,adsl,1.0,,полностью меблирована,,3.0,1.0,раздельный,бронированная,,115000,42.8188,74.6162,Бишкек,10,10,1,1,1,0,0,0,1,0,1,0,1,0,0,0,монолитный,2021
собственник,1,"Бишкек, Верхний Джал м-н, Тыналиева 15/Курчатова",106 серия,45.0,1.0,хорошее,,1.0,,проводной,1.0,1.0,пустая,линолеум,2.9,0.0,совмещенный,бронированная,рядом охраняемая стоянка,53000,42.8348,74.5642,Бишкек,7,9,1,1,0,0,1,0,0,0,0,0,1,0,0,0,панельный,1999
собственник,4,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134/Исанова",элитка,145.0,1.0,евроремонт,,,обмен на авто,проводной,1.0,1.0,полностью меблирована,ламинат,3.0,,2 с/у и более,металлическая,паркинг,290000,42.865,74.5924,Бишкек,2,10,1,1,0,1,0,0,1,0,0,0,0,0,0,0,монолитный,2016
